feature_delta,spread_partial_r_full,spread_signal,ou_partial_r_full,ou_signal,variance_signal_spread,variance_r_spread,variance_signal_ou,variance_r_ou,trajectory_verdict,yoy_r,yoy_verdict,conferences_spread_signal,conferences_ou_signal,notes
delta_off_success_rate_rush,-0.0156,redundant / drop,0.0157,redundant / drop,False,0.0244,False,-0.0182,stable,0.5111,moderate,"['Big Ten', 'Conference USA', 'Mountain West', 'Pac-12', 'Sun Belt']","['ACC', 'American Athletic', 'Big 12', 'Mid-American']",
delta_off_success_rate_pass,0.0445,redundant / drop,0.0413,redundant / drop,False,-0.016,False,-0.0157,weakens,0.4872,unstable,"['Big 12', 'Conference USA', 'Mountain West', 'SEC']","['Mountain West', 'SEC']",
delta_off_success_rate_std_downs,0.0379,redundant / drop,0.0517,redundant / drop,False,0.0067,False,-0.0216,weakens,0.5547,moderate,"['ACC', 'Conference USA', 'Mountain West', 'SEC']","['ACC', 'American Athletic', 'Big 12', 'Mid-American', 'Mountain West', 'SEC']",
delta_off_success_rate_pass_downs,-0.017,redundant / drop,-0.0232,redundant / drop,False,-0.0289,False,-0.0219,stable,0.3816,unstable,"['ACC', 'Conference USA']",['Sun Belt'],
delta_off_explosive_rate_20,0.0154,redundant / drop,0.0144,redundant / drop,False,-0.0233,False,0.0236,stable,0.3362,unstable,"['American Athletic', 'Conference USA', 'SEC', 'Sun Belt']","['Big 12', 'Mid-American', 'Pac-12', 'Sun Belt']",
delta_off_explosive_rate_10,0.0053,redundant / drop,-0.0049,redundant / drop,False,-0.033,False,0.0156,weakens,0.4674,unstable,['American Athletic'],"['Mid-American', 'Pac-12', 'Sun Belt']",
delta_off_stuff_rate,0.0081,redundant / drop,-0.0286,redundant / drop,False,-0.0047,False,-0.0083,strengthens,0.491,unstable,"['Big Ten', 'SEC', 'Sun Belt']","['ACC', 'American Athletic', 'Mid-American', 'Pac-12']",
delta_off_line_yards_per_rush,-0.0086,redundant / drop,0.0245,redundant / drop,False,0.0137,False,-0.0023,weakens,0.4916,unstable,"['American Athletic', 'Mountain West', 'Sun Belt']","['ACC', 'American Athletic', 'Mid-American', 'Pac-12']",
delta_off_sack_rate_allowed,-0.0057,redundant / drop,-0.0735,redundant / drop,False,0.0133,False,-0.0059,stable,0.3282,unstable,"['ACC', 'American Athletic', 'Big 12', 'Big Ten', 'Conference USA']","['Big Ten', 'SEC', 'Sun Belt']",
delta_off_pts_per_opportunity,0.0276,redundant / drop,0.0398,redundant / drop,False,-0.0223,False,-0.0037,stable,0.5108,moderate,"['ACC', 'Conference USA', 'Mountain West', 'SEC']","['ACC', 'Big 12', 'Mid-American', 'Mountain West', 'SEC']",
delta_off_epa_rush,-0.0067,redundant / drop,0.0139,redundant / drop,False,0.0215,False,0.0109,weakens,0.4419,unstable,"['American Athletic', 'Big Ten', 'Mountain West', 'Sun Belt']","['ACC', 'American Athletic', 'Big 12', 'Conference USA', 'Mid-American']",
delta_off_epa_pass,0.0392,redundant / drop,0.0352,redundant / drop,False,-0.0274,False,0.0123,weakens,0.3853,unstable,"['ACC', 'Conference USA', 'SEC']","['ACC', 'American Athletic', 'Mid-American', 'Mountain West', 'SEC']",
delta_off_success_rate_redzone,0.0225,redundant / drop,0.0058,redundant / drop,False,0.0419,False,0.0002,weakens,0.0518,unstable,"['ACC', 'Conference USA']","['American Athletic', 'Conference USA', 'Sun Belt']",
delta_off_epa_redzone,0.0287,redundant / drop,0.0121,redundant / drop,False,0.0246,False,-0.0016,weakens,-0.0165,unstable,['ACC'],"['American Athletic', 'Conference USA', 'Sun Belt']",
delta_time_of_possession,-0.0087,redundant / drop,-0.031,redundant / drop,False,-0.0271,False,0.0323,strengthens,0.0574,unstable,['Big Ten'],"['American Athletic', 'Conference USA', 'Pac-12', 'Sun Belt']",
delta_rush_rate_std_downs,-0.0023,redundant / drop,-0.0051,redundant / drop,False,0.0135,False,0.0041,weakens,0.5766,moderate,"['Big Ten', 'Conference USA', 'Mountain West', 'SEC']","['American Athletic', 'Conference USA', 'SEC']",
delta_rush_rate_pass_downs,-0.012,redundant / drop,-0.0025,redundant / drop,False,-0.0061,False,-0.0229,weakens,0.5177,moderate,['Sun Belt'],"['ACC', 'American Athletic', 'Conference USA', 'SEC']",
