feature,role,yoy_r_full,spread_verdict,ou_verdict,prior_weight,notes,population,rec_sp_r,rec_diff_r,rec_win_r
sp_rating,anchor_candidate,0.774,anchor — conf game 1 signal decays with season progression,absent,high — primary prior anchor,seed prior before season. weight relative to EPA declines as games accumulate.,,,,
recruiting_3yr_avg,prior_seed,0.9779,not tested — prior seed only,not tested — prior seed only,low weight,prior seed only. weight by conference based on SP+ collinearity.,Full,0.6711,0.3972,0.3238
recruiting_3yr_avg,prior_seed,0.9779,not tested — prior seed only,not tested — prior seed only,moderate weight,prior seed only. weight by conference based on SP+ collinearity.,P4,0.6305,0.5114,0.4488
recruiting_3yr_avg,prior_seed,0.9779,not tested — prior seed only,not tested — prior seed only,low weight,prior seed only. weight by conference based on SP+ collinearity.,G5,0.3723,0.1717,0.1438
recruiting_3yr_avg,prior_seed,0.9779,not tested — prior seed only,not tested — prior seed only,low weight,prior seed only. weight by conference based on SP+ collinearity.,ACC,0.3984,0.2918,0.2558
recruiting_3yr_avg,prior_seed,0.9779,not tested — prior seed only,not tested — prior seed only,low weight,prior seed only. weight by conference based on SP+ collinearity.,American Athletic,0.3689,0.2752,0.2139
recruiting_3yr_avg,prior_seed,0.9779,not tested — prior seed only,not tested — prior seed only,low weight,prior seed only. weight by conference based on SP+ collinearity.,Big 12,0.421,0.3539,0.2718
recruiting_3yr_avg,prior_seed,0.9779,not tested — prior seed only,not tested — prior seed only,moderate weight,prior seed only. weight by conference based on SP+ collinearity.,Big Ten,0.7456,0.6601,0.6616
recruiting_3yr_avg,prior_seed,0.9779,not tested — prior seed only,not tested — prior seed only,low weight,prior seed only. weight by conference based on SP+ collinearity.,Conference USA,0.0548,0.0054,0.0314
recruiting_3yr_avg,prior_seed,0.9779,not tested — prior seed only,not tested — prior seed only,low weight,prior seed only. weight by conference based on SP+ collinearity.,Mid-American,0.2259,0.2332,0.1628
recruiting_3yr_avg,prior_seed,0.9779,not tested — prior seed only,not tested — prior seed only,low weight,prior seed only. weight by conference based on SP+ collinearity.,Mountain West,0.3917,0.3215,0.279
recruiting_3yr_avg,prior_seed,0.9779,not tested — prior seed only,not tested — prior seed only,low weight,prior seed only. weight by conference based on SP+ collinearity.,Pac-12,0.4135,0.3452,0.2793
recruiting_3yr_avg,prior_seed,0.9779,not tested — prior seed only,not tested — prior seed only,moderate weight,prior seed only. weight by conference based on SP+ collinearity.,SEC,0.673,0.6153,0.5589
recruiting_3yr_avg,prior_seed,0.9779,not tested — prior seed only,not tested — prior seed only,low weight,prior seed only. weight by conference based on SP+ collinearity.,Sun Belt,-0.1729,-0.2665,-0.2065
