feature,n_2022_2023,r_2022_2023,p_2022_2023,n_2023_2024,r_2023_2024,p_2023_2024,avg_yoy_r,stable_for_prior_seed,strongly_stable_for_prior_seed
off_success_rate_rush,124,0.367937485734467,2.620801817459126e-05,129,0.29081888283331914,0.0008273262804382233,0.3293781842838931,False,False
off_success_rate_pass,124,0.35369925686851766,5.582481026413533e-05,129,0.23697256108662845,0.006852673346036456,0.29533590897757306,False,False
off_success_rate_std_downs,124,0.4132376589334841,1.8423680102362016e-06,129,0.2233604069696744,0.010945786374730303,0.31829903295157924,False,False
off_success_rate_pass_downs,124,0.22531886741433896,0.011866944341525517,129,0.2808582207818919,0.001263971270043526,0.25308854409811543,False,False
off_epa_rush,124,0.300750403274849,0.0006887271343252336,129,0.30132262680079763,0.0005203244241481671,0.3010365150378233,False,False
off_epa_pass,124,0.28405675383340195,0.0013876223634771705,129,0.266984666975791,0.0022239839565924655,0.27552071040459647,False,False
off_explosive_rate_10,124,0.36167419219520347,3.67120193077538e-05,129,0.29362724934879914,0.0007320985030554609,0.3276507207720013,False,False
off_explosive_rate_20,124,0.3640501995262305,3.2332409446072826e-05,129,0.19440222937376866,0.02727219529235252,0.2792262144499996,False,False
off_stuff_rate,124,0.2315528693448953,0.009664234788609373,129,0.2919171686122534,0.0007888088988682463,0.2617350189785744,False,False
off_line_yards_per_rush,124,0.25676590917439074,0.0039932704268546325,129,0.27556205204339645,0.0015736448202801601,0.26616398060889357,False,False
off_pts_per_opportunity,124,0.22328932806182025,0.012673296939352721,129,0.11738953164591306,0.1852052712070976,0.17033942985386666,False,False
rush_rate_std_downs,124,0.4968279158362136,4.382789393738511e-09,129,0.4812667347958106,7.770029392232687e-09,0.48904732531601214,True,False
rush_rate_pass_downs,124,0.5448022674399003,6.097379979186216e-11,129,0.38475982462594605,6.729840691467168e-06,0.4647810460329232,True,False
off_sack_rate_allowed,124,0.18423661670049102,0.040524391698579146,129,0.3033160848839022,0.0004755435836828001,0.24377635079219662,False,False
def_success_rate_rush_allowed,124,0.4208507618603229,1.1335127494754597e-06,129,0.2673423455506443,0.0021926174140396576,0.3440965537054836,False,False
def_success_rate_pass_allowed,124,0.26941346884990713,0.0024794992300104465,129,0.2765769294982614,0.0015094316634288129,0.27299519917408427,False,False
def_success_rate_std_downs_allowed,124,0.37268347251464345,2.0206116278617024e-05,129,0.37069669673485717,1.5293120030737446e-05,0.3716900846247503,False,False
def_epa_rush_allowed,124,0.3505297403540326,6.574038264602864e-05,129,0.26758555638442744,0.002171518516188478,0.30905764836923,False,False
def_epa_pass_allowed,124,0.3432553034217738,9.505340254404287e-05,129,0.2516068909235409,0.004023513994559975,0.29743109717265737,False,False
def_stuff_rate_allowed,124,0.3590093815869964,4.228325857730165e-05,129,0.23041766149653287,0.008613717876439716,0.29471352154176467,False,False
def_explosive_rate_10_allowed,124,0.401658638398519,3.7709582354332216e-06,129,0.2180554099243459,0.013047281002184372,0.30985702416143246,False,False
def_explosive_rate_20_allowed,124,0.3303560412814711,0.00017881837696235594,129,0.31878708539501366,0.0002313862870219908,0.3245715633382424,False,False
def_pts_per_opportunity_allowed,124,0.19833130911482438,0.027234475845394252,129,0.2361577476099967,0.007052598141769372,0.21724452836241054,False,False
def_sack_rate,124,0.21418378078065317,0.016908826816821845,129,0.18201338781113388,0.038976909134761525,0.19809858429589353,False,False
